"Page","Lines","Img","ImgAlt","HardColors","TokenClasses","H1","H2","H3"
"about.tsx","204","0","0","79","0","1","5","1"
"admin-settings.tsx","232","0","0","4","0","1","0","0"
"ai-assistant.tsx","432","0","0","3","7","1","0","0"
"ai-doc-generator.tsx","1050","0","0","6","41","1","3","3"
"ai-hub.tsx","350","0","0","28","12","1","0","0"
"api-keys.tsx","470","0","0","4","7","2","0","0"
"audit-trail.tsx","397","0","0","53","0","2","0","1"
"auditor-workspace.tsx","376","0","0","7","19","1","0","0"
"cloud-integrations.tsx","654","0","0","42","0","1","0","2"
"company-profile.tsx","2442","0","0","0","18","1","0","1"
"connectors-hub.tsx","191","0","0","3","3","1","0","0"
"contact.tsx","280","0","0","55","0","1","1","2"
"control-approvals.tsx","341","0","0","2","10","1","0","3"
"dashboard.tsx","465","0","0","16","0","2","0","1"
"document-versions.tsx","489","0","0","84","0","0","1","1"
"document-workspace.tsx","596","0","0","81","0","1","0","1"
"documents.tsx","304","0","0","67","1","1","0","0"
"enhanced-company-profile.tsx","223","0","0","9","3","1","0","0"
"enterprise-login.tsx","297","0","0","38","2","0","0","0"
"enterprise-signup.tsx","314","0","0","46","0","0","0","1"
"evidence-ingestion.tsx","360","0","0","10","11","1","0","0"
"export-center.tsx","88","0","0","8","3","1","0","0"
"features.tsx","282","1","1","68","0","1","5","1"
"fedramp-framework.tsx","1250","0","0","60","15","1","0","1"
"forgot-password.tsx","180","0","0","36","0","0","0","0"
"gap-analysis.tsx","598","0","0","45","0","1","2","5"
"home.tsx","390","0","0","89","1","1","3","1"
"iso27001-framework.tsx","975","0","0","33","21","1","0","1"
"landing.tsx","370","0","0","94","0","1","5","5"
"local-settings.tsx","489","0","0","2","19","1","0","0"
"mcp-tools.tsx","467","0","0","3","22","1","0","2"
"mfa-setup.tsx","579","1","1","16","0","2","0","0"
"nist-framework.tsx","1117","0","0","65","15","1","0","2"
"not-found.tsx","31","0","0","0","3","1","0","0"
"organization-setup.tsx","361","0","0","38","0","1","2","1"
"pricing.tsx","301","0","0","62","0","1","3","1"
"privacy.tsx","226","0","0","75","0","1","10","2"
"profile-settings.tsx","229","0","0","0","3","1","1","0"
"repository-analysis.tsx","340","0","0","0","4","2","0","0"
"reset-password.tsx","240","0","0","44","0","0","0","0"
"soc2-framework.tsx","838","0","0","58","15","1","0","1"
"terms.tsx","249","0","0","87","0","1","14","0"
"user-profile.tsx","298","0","0","11","0","1","1","0"
