"Route","Component","Import"
"/","Dashboard","./pages/dashboard"
"/dashboard","Dashboard","./pages/dashboard"
"/profile","CompanyProfile","./pages/company-profile"
"/enhanced-profile","EnhancedCompanyProfile","./pages/enhanced-company-profile"
"/workspace","WorkspaceWrapper",
"/documents","Documents","./pages/documents"
"/gap-analysis","GapAnalysis","./pages/gap-analysis"
"/iso27001-framework","ISO27001Framework","./pages/iso27001-framework"
"/soc2-framework","SOC2Framework","./pages/soc2-framework"
"/fedramp-framework","FedRAMPFramework","./pages/fedramp-framework"
"/nist-framework","NISTFramework","./pages/nist-framework"
"/audit-trail","AuditTrail","./pages/audit-trail"
"/repository-analysis","RepositoryAnalysis","./pages/repository-analysis"
"/document-versions/:id","DocumentVersionsWrapper",
"/user-profile","UserProfile","./pages/user-profile"
"/organizations","OrganizationSetup","./pages/organization-setup"
"/storage","ObjectStorageManager","./components/ObjectStorageManager"
"/ai-specialization","IndustrySpecialization","./components/ai/IndustrySpecialization"
"/export","ExportCenter","./pages/export-center"
"/admin","AdminSettings","@/pages/admin-settings"
"/local-settings","LocalSettings","@/pages/local-settings"
"/api-keys","ApiKeys","@/pages/api-keys"
"/cloud-integrations","CloudIntegrations","@/pages/cloud-integrations"
"/profile/settings","ProfileSettings","./pages/profile-settings"
"/ai-assistant","AIAssistant","@/pages/ai-assistant"
"/mcp-tools","MCPTools","@/pages/mcp-tools"
"/ai-doc-generator","AIDocGenerator","@/pages/ai-doc-generator"
"/ai-hub","AIHub","./pages/ai-hub"
"/connectors","ConnectorsHub","@/pages/connectors-hub"
"/evidence-ingestion","EvidenceIngestion","./pages/evidence-ingestion"
"/control-approvals","ControlApprovals","./pages/control-approvals"
"/auditor-workspace","AuditorWorkspace","./pages/auditor-workspace"
"/","Landing","./pages/landing"
"/login","EnterpriseLogin","@/pages/enterprise-login"
"/enterprise-login","EnterpriseLogin","@/pages/enterprise-login"
"/enterprise-signup","EnterpriseSignup","@/pages/enterprise-signup"
"/forgot-password","ForgotPassword","@/pages/forgot-password"
"/reset-password","ResetPassword","@/pages/reset-password"
"/mfa-setup","MfaSetup","@/pages/mfa-setup"
"/about","About","./pages/about"
"/features","Features","./pages/features"
"/pricing","Pricing","./pages/pricing"
"/contact","Contact","./pages/contact"
"/privacy","Privacy","./pages/privacy"
"/terms","Terms","./pages/terms"
